epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.906,2.14049,2.52715,1.70268,0.57605,0.11101,0.18213,0.0653,2.18753,2.92116,1.81628,0.000654321,0.000654321,0.000654321
2,302.933,2.08969,2.05049,1.63724,0.22464,0.12557,0.08929,0.02648,2.41697,3.04317,2.04437,0.00129483,0.00129483,0.00129483
3,454.674,2.11684,2.0488,1.7136,0.40598,0.27383,0.26489,0.08863,2.42489,2.3681,2.04369,0.00190894,0.00190894,0.00190894
4,601.279,2.10527,1.93222,1.69245,0.49774,0.41679,0.40671,0.152,2.19736,2.13689,1.83804,0.0018812,0.0018812,0.0018812
5,745.1,2.06116,1.88447,1.62915,0.56687,0.40986,0.41765,0.14565,2.26963,2.08852,1.88766,0.0018416,0.0018416,0.0018416
6,889.39,2.06091,1.834,1.61279,0.59994,0.45537,0.47768,0.17566,2.23767,1.94843,1.81304,0.001802,0.001802,0.001802
7,1030.99,2.03458,1.81639,1.615,0.55219,0.49622,0.50182,0.18011,2.20478,2.03094,1.79625,0.0017624,0.0017624,0.0017624
8,1171,2.06465,1.84074,1.65214,0.5644,0.4584,0.45588,0.16854,2.19965,1.89537,1.74375,0.0017228,0.0017228,0.0017228
9,1310.83,2.07281,1.71078,1.63515,0.53676,0.49773,0.48606,0.17873,2.19335,1.81981,1.78305,0.0016832,0.0016832,0.0016832
10,1449.34,2.05387,1.70675,1.63149,0.57375,0.42814,0.46536,0.17401,2.20038,2.00266,1.80495,0.0016436,0.0016436,0.0016436
11,1589.48,2.02751,1.6887,1.58895,0.53692,0.45958,0.47322,0.17661,2.17823,1.81704,1.74812,0.001604,0.001604,0.001604
12,1731.66,1.99155,1.63074,1.57589,0.56052,0.49017,0.50789,0.18635,2.23692,1.80028,1.74226,0.0015644,0.0015644,0.0015644
13,1871.58,1.99142,1.6108,1.55523,0.59414,0.50832,0.5397,0.19893,2.17815,1.87819,1.74195,0.0015248,0.0015248,0.0015248
14,2012.43,1.95784,1.57718,1.55189,0.67271,0.46293,0.53844,0.21113,2.13214,1.70302,1.73479,0.0014852,0.0014852,0.0014852
15,2147.07,2.00616,1.54197,1.56614,0.61345,0.52799,0.55988,0.21296,2.15093,1.6835,1.713,0.0014456,0.0014456,0.0014456
16,2287.71,1.9623,1.5482,1.54922,0.66384,0.45688,0.54051,0.21004,2.14138,1.64851,1.70057,0.001406,0.001406,0.001406
17,2428.69,1.96372,1.58316,1.56567,0.54131,0.44327,0.47539,0.17083,2.20794,1.77759,1.76495,0.0013664,0.0013664,0.0013664
18,2567.69,1.95317,1.49186,1.54742,0.64807,0.50378,0.55078,0.20733,2.1493,1.71057,1.71389,0.0013268,0.0013268,0.0013268
19,2708.89,1.90631,1.46834,1.52133,0.60088,0.56278,0.5906,0.22582,2.14662,1.59424,1.68065,0.0012872,0.0012872,0.0012872
20,2847.83,1.96102,1.43657,1.54454,0.59467,0.53707,0.58278,0.22113,2.17237,1.58636,1.74684,0.0012476,0.0012476,0.0012476
21,2989.52,1.90366,1.42832,1.51727,0.67115,0.50227,0.5664,0.21648,2.18005,1.65239,1.73548,0.001208,0.001208,0.001208
22,3128.77,1.91657,1.42587,1.49864,0.62154,0.51437,0.56237,0.21311,2.17057,1.69966,1.72333,0.0011684,0.0011684,0.0011684
23,3269.24,1.9269,1.3961,1.50136,0.61366,0.50832,0.56478,0.22204,2.19837,1.57656,1.74159,0.0011288,0.0011288,0.0011288
24,3410.36,1.91339,1.36878,1.48395,0.63781,0.52484,0.5792,0.2266,2.15034,1.58769,1.70731,0.0010892,0.0010892,0.0010892
25,3551.99,1.86508,1.3828,1.50888,0.65111,0.55522,0.61059,0.24046,2.13015,1.56346,1.6901,0.0010496,0.0010496,0.0010496
26,3691.13,1.84658,1.34016,1.48818,0.63143,0.55219,0.59286,0.22741,2.16653,1.53738,1.70887,0.00101,0.00101,0.00101
27,3833.05,1.87274,1.34515,1.47532,0.62903,0.5387,0.57564,0.22602,2.19669,1.5667,1.75199,0.0009704,0.0009704,0.0009704
28,3971.8,1.81647,1.28612,1.44781,0.64199,0.54766,0.58834,0.22058,2.17803,1.51975,1.74158,0.0009308,0.0009308,0.0009308
29,4111.97,1.83626,1.28781,1.45598,0.61995,0.58242,0.61148,0.23524,2.15299,1.51593,1.69881,0.0008912,0.0008912,0.0008912
30,4255.01,1.81788,1.29731,1.4557,0.622,0.54463,0.5781,0.22505,2.1672,1.52868,1.72411,0.0008516,0.0008516,0.0008516
31,4396.4,1.78322,1.25292,1.45306,0.63503,0.55016,0.60954,0.23503,2.14941,1.49469,1.71282,0.000812,0.000812,0.000812
32,4536.8,1.80566,1.24719,1.45659,0.65682,0.52987,0.59359,0.23844,2.14289,1.51425,1.71072,0.0007724,0.0007724,0.0007724
33,4676.09,1.80448,1.25537,1.42756,0.71868,0.49773,0.61191,0.24604,2.12449,1.47963,1.69491,0.0007328,0.0007328,0.0007328
34,4813.35,1.78453,1.26329,1.4311,0.62116,0.56732,0.58953,0.23427,2.12798,1.51503,1.68986,0.0006932,0.0006932,0.0006932
35,4952.06,1.77959,1.20633,1.42771,0.69505,0.51135,0.59661,0.23609,2.13698,1.46529,1.70756,0.0006536,0.0006536,0.0006536
36,5092.45,1.77995,1.21294,1.43618,0.6617,0.54744,0.61127,0.23446,2.15671,1.45895,1.71959,0.000614,0.000614,0.000614
37,5231.55,1.75849,1.191,1.40208,0.59147,0.55825,0.58748,0.23301,2.15354,1.48073,1.71392,0.0005744,0.0005744,0.0005744
38,5370.82,1.73188,1.16631,1.3987,0.64488,0.55673,0.61145,0.24251,2.15452,1.45647,1.71081,0.0005348,0.0005348,0.0005348
39,5512.04,1.7291,1.1345,1.39627,0.61738,0.56634,0.59142,0.23787,2.162,1.42811,1.73404,0.0004952,0.0004952,0.0004952
40,5652.79,1.7,1.1487,1.38082,0.66352,0.56732,0.6189,0.24206,2.16385,1.4364,1.72848,0.0004556,0.0004556,0.0004556
41,5790.7,1.76791,1.20596,1.46599,0.65787,0.53253,0.58386,0.23016,2.18263,1.51233,1.71391,0.000416,0.000416,0.000416
42,5928.87,1.69055,1.14553,1.41788,0.68372,0.52345,0.60082,0.23473,2.19188,1.49154,1.74249,0.0003764,0.0003764,0.0003764
43,6067.74,1.67983,1.09479,1.39262,0.68704,0.56127,0.63539,0.25123,2.1586,1.44043,1.7133,0.0003368,0.0003368,0.0003368
44,6206.37,1.6684,1.0966,1.39654,0.67571,0.5737,0.63303,0.24675,2.18336,1.44107,1.71656,0.0002972,0.0002972,0.0002972
45,6341.98,1.65939,1.05612,1.39198,0.65681,0.57619,0.62064,0.24151,2.17933,1.41749,1.73418,0.0002576,0.0002576,0.0002576
46,6480.62,1.62531,1.03047,1.37853,0.64802,0.57035,0.61992,0.24396,2.15276,1.41654,1.71001,0.000218,0.000218,0.000218
47,6616.43,1.63397,1.03948,1.36201,0.65909,0.57035,0.62809,0.24584,2.15967,1.41547,1.70529,0.0001784,0.0001784,0.0001784
48,6754,1.63721,1.04518,1.37547,0.65386,0.56581,0.61864,0.24471,2.15621,1.40789,1.71455,0.0001388,0.0001388,0.0001388
49,6892.28,1.60219,1.00564,1.36844,0.62911,0.58508,0.61995,0.24713,2.162,1.40581,1.72613,9.92e-05,9.92e-05,9.92e-05
50,7030.62,1.59968,1.03483,1.36409,0.66317,0.57186,0.62198,0.24431,2.17709,1.41073,1.73617,5.96e-05,5.96e-05,5.96e-05
